#BACKUP DATA
#CDS.TXT
#
DMB | RECENTLY | 1 | USA | OPENED | 1993 | 783177730443 | STUDIO | BAMA003
DMB | RECENTLY | 1 | USA | OPENED | 1997 | 078636754826 | STUDIO | 	
DMB | REMEMBER TWO THINGS | 1 | USA | OPENED | 1993 | BAMA001 | STUDIO | NO UPC
DMB | REMEMBER TWO THINGS | 1 | USA | OPENED | 1994 | 783177720222 | STUDIO | BAMA001 WITH UPC
DMB | REMEMBER TWO THINGS | 1 | USA | OPENED | 1997 | 078636754727 | STUDIO | 	
DM | SOME DEVIL | 1 | ARGENTINA | SEALED | 2003 | 828765627627 | STUDIO | 
DM | SOME DEVIL | 1 | EU | OPENED | 2003 | 828765627627 | STUDIO | 	
DM | SOME DEVIL | 1 | CANADA | SEALED | 2003 | 828765619820 | STUDIO | 	
DM | SOME DEVIL | 1 | JAPAN | SEALED | 2003 | BVCP21346 | STUDIO | 4988017618776
DM | SOME DEVIL | 1 | JAPAN | SEALED | 2003 | BVCP21346 | STUDIO | 4988017618776
DM | SOME DEVIL | 1 | USA | SEALED | 2003 | 828765516720 | STUDIO | 	
DM | SOME DEVIL | 2 | USA | OPENED | 2003 | 828765619721 | STUDIO | LIVE AT… BONUS DISC
DMB | STAND UP | 1 | USA | OPENED | 2005 | 828766879629 | STUDIO | DIGIPAC
DMB | STAND UP | 1 | USA | SEALED | 2005 | 828766879629 | STUDIO | DIGIPAC
DMB | STAND UP | 1 | AUSTRALIA | OPENED | 2005 | 828767621623 | STUDIO | DUALDISC, DD JEWEL CASE
DMB | STAND UP | 1 | USA | OPENED | 2005 | 828766928822 | STUDIO | HOLE PUNCH, DD JEWEL CASE
DMB | STAND UP | 1 | USA | SEALED | 2005 | 828766928822 | STUDIO | REGULAR JEWEL CASE
DMB | STAND UP | 2 | EU | OPENED | 2005 | VVR1034488 | STUDIO | V2 1CD/1DVD
DMB | STAND UP | 1 | EU | OPENED | 2005 | VVR1034482 | STUDIO | V2 5033197344829
DMB | THE BEST OF WHAT’S AROUND VOL 1 | 2 | USA | OPENED | 2006 | 828768885826 | STUDIO | 
DMB | THE BEST OF WHAT’S AROUND VOL 1 | 1 | USA | SEALED | 2006 | 886973652121 | STUDIO | ECOFRIENDLY PACKAGE
