#BACKUP DATA
#CDS.TXT
#
DMB | Stand Up | 1 | USA | Opened | 2005 | 828766879629 | Studio | Digipac
DMB | Stand Up | 1 | USA | Sealed | 2005 | 828766879629 | Studio | Digipac
DMB | Stand Up | 1 | Australia | Opened | 2005 | 828767621623 | Studio | DualDisc, DD Jewel Case
DMB | Stand Up | 1 | USA | Opened | 2005 | 828766928822 | Studio | Hole Punch, DD Jewel Case
DMB | Stand Up | 1 | USA | Sealed | 2005 | 828766928822 | Studio | Regular Jewel Case
DMB | Stand Up | 2 | EU | Opened | 2005 | VVR1034488 | Studio | V2 1CD/1DVD
DMB | Stand Up | 1 | EU | Opened | 2005 | VVR1034482 | Studio | V2 5033197344829
DMB | The Best Of What’s Around Vol 1 | 2 | USA | Opened | 2006 | 828768885826 | Studio | 
DMB | The Best Of What’s Around Vol 1 | 1 | USA | Sealed | 2006 | 886973652121 | Studio | EcoFriendly Package
DMB | The Best Of What’s Around Vol 1 | 2 | Korea | Sealed | 2006 | 28768885826 | Studio | 
Tim Reynolds | The Limbic System | 1 | USA | Sealed | 2010 | 884501372831 | Studio | 
Boyd Tinsley | True Reflections | 1 | USA | Sealed | 2003 | 828765263320 | Studio | 	
DMB | Under The Table And Dreaming | 1 | USA | Sealed | 1994 | 07863664492 | Studio | BMG Edition
DMB | Under The Table And Dreaming | 1 | USA | Opened | 1994 | 07863664492 | Studio | BMG Edition Cloud Disc
DMB | Under The Table And Dreaming | 1 | USA | Sealed | 1994 | D105998 | Studio | BMG Music Club Edition
DMB | Under The Table And Dreaming | 1 | Canada | Opened | 1994 | 07863664492 | Studio | 	
DMB | Under The Table And Dreaming | 1 | USA | Opened | 1994 | 07863664492 | Studio | Columbia House Edition
DMB | Under The Table And Dreaming | 1 | Japan | Opened | 1994 | BVCP768 | Studio | 	
DMB | Europe 2009 | 4 | USA | Opened | 2009 | 886976182427 | Live | 
DMB | Listener Supported | 2 | USA | Sealed | 1999 | 078636789828 | Live | Hole Punch
Dmb | Live At Folsom Field | 2 | USA | Sealed | 2002 | 078636812427 | Live | 
DMB | Live At Folsom Field | 2 | USA | Sealed | 2002 | 078636812427 | Live | 
DMB | Live At Mile High Music Festival | 3 | USA | Opened | 2008 | 886974297024 | Live | 
DMB | Live At Mile High Music Festival | 3 | USA | Sealed | 2008 | 886974297024 | Live | 
DMB | LIVE AT PIEDMONT PARK | 3 | USA | SEALED | 2007 | 886972144429 | LIVE |
DMB | LIVE AT PIEDMONT PARK | 3 | USA | OPENED | 2007 | 886972144429 | LIVE |
DMB | LIVE AT RED ROCKS 8.15.95 | 2 | USA | SEALED | 1997 | 078636758725 | LIVE |
DMB | LIVE AT WRIGLEY FIELD | 2 | USA | SEALED | 2011 | 886978625427 | LIVE |
DMB | LIVE AT WRIGLEY FIELD | 2 | TAIWAN | SEALED | 2011 | 886978625427 | LIVE |
DMB | LIVE AT WRIGLEY FIELD BOX SET | 4 | USA | SEALED | 2011 | N/A | LIVE | WH EDITION, SCREEN PRINT #2062 TEST
